polarity,content,content_clean
1,"Se acaba un buen año, y va empezar uno mejor, siempre con la.bendición de Dios",se acaba un buen ao y va empezar uno mejor siempre con labendicin de dios
1,@WhiteLither Feliz Navidad Felino!!! Jaja! Saludos y abrazos a la familia!,feliz navidad felino jaja saludos y abrazos a la familia
1,@ciudad_com @cuervotinelli  !! El más lindo de todos ...,el ms lindo de todos
1,"@favaritx Que 2017 sea un gran año para ti, una de mis personas favoritas en este mundo. Que este año nos volvamos a ver y abrazar",que 2017 sea un gran ao para ti una de mis personas favoritas en este mundo que este ao nos volvamos a ver y abrazar
0,La negra Mel que se haga del Bolso tamos todos los compadres y ella de galli deja nos re gozariamos en la abdon negra,la negra mel que se haga del bolso tamos todos los compadres y ella de galli deja nos re gozariamos en la abdon negra
-1,"Hoy pasé frente a una tienda y noté que ya no le quedaba casi nada de pan Tía Rosa, solo mantecadas de chocolate. Son tan poco valoradas.",hoy pas frente a una tienda y not que ya no le quedaba casi nada de pan ta rosa solo mantecadas de chocolate son tan poco valoradas
-1,@MariaFederica8 @M_Mandariin vamo a tomar un mate depresivos de merrda,vamo a tomar un mate depresivos de merrda
0,Pero mis padres y familia no Te quiero bonita y gracias,pero mis padres y familia no te quiero bonita y gracias
-1,La lluvia definitivo no me tiene piedad cuando ando en bus,la lluvia definitivo no me tiene piedad cuando ando en bus
-1,@hnadelmedio suspendido Palitt...esto no puede ser!,suspendido palittesto no puede ser
-1,@ElCrull Jajajaja a que mala impresión,jajajaja a que mala impresin
1,"@mamutida @Malfitan0 ¡gracias por el saludo! Jonasito está calentando la voz para entonar el ""feliz cumpleaños"" a lo Wagner",gracias por el saludo jonasito est calentando la voz para entonar el feliz cumpleaos a lo wagner
-1,Siempre soy la culpable de la mierda de todos ¿no?,siempre soy la culpable de la mierda de todos no
1,@MarifeCastroR si que bueno les gusto eso buscamos que las personas les guste la interpretación y cosplay muchas gracias a ti,si que bueno les gusto eso buscamos que las personas les guste la interpretacin y cosplay muchas gracias a ti
1,"Buenos días!!! Lo q hoy seas capaz de sembrar, será lo q mañana cosecharás. Tu futuro depende de lo q realices en tu presente... Besitos",buenos das lo q hoy seas capaz de sembrar ser lo q maana cosechars tu futuro depende de lo q realices en tu presente besitos
-1,"@GiuliJs7 camara del orto esa, yo solo queria un icon",camara del orto esa yo solo queria un icon
-1,"@Kanalla10 @negromagallanes disfrutá mientras puedas, q prontito se acaba.",disfrut mientras puedas q prontito se acaba
-1,Sacaron Gilda de cartelera Odio la cartelera peruana.,sacaron gilda de cartelera odio la cartelera peruana
0,No sé si soy exagerada.. no es el fin del mundo pero yo necesito un trago para pasar todo esto. Necesito estar tranquila,no s si soy exagerada no es el fin del mundo pero yo necesito un trago para pasar todo esto necesito estar tranquila
0,Daniel dice por qué aquí hay esa lluvia así tan fuerte? En lima solo caen gotitas JAJAJAJAJAJAJA,daniel dice por qu aqu hay esa lluvia as tan fuerte en lima solo caen gotitas jajajajajajaja
-1,"@grazianopascale Sí, es increíble lo que está diciendo. Incluso que su gestión se compara favorablemente con la del FBI @LeoVeigaSanchez",s es increble lo que est diciendo incluso que su gestin se compara favorablemente con la del fbi
1,¡Feliz Nuevo Nacimiento! Un infinito GRACIAS por tu Presencia aqui. ¡Un Abrazo Enorme!. Alicia.,feliz nuevo nacimiento un infinito gracias por tu presencia aqui un abrazo enorme alicia
0,"Lo bueno es que voy para Talamanca y Cahuita en una gira, lo malo es que es el finde antes del examen de analítica",lo bueno es que voy para talamanca y cahuita en una gira lo malo es que es el finde antes del examen de analtica
1,Que dicha que me vale todo lo que todo el mundo diga,que dicha que me vale todo lo que todo el mundo diga
0,Lo bueno: Ya voy de regreso y nos podremos ver. Lo malo: No me contesta los mensajes.,lo bueno ya voy de regreso y nos podremos ver lo malo no me contesta los mensajes
0,Lo bueno es que el próximo año todos los fanboys de Bombama desaparecerán para siempre.,lo bueno es que el prximo ao todos los fanboys de bombama desaparecern para siempre
1,Estos #CinnamonRolls traen muchas pasas... puro sabor a #Navidad!!! #ProsanaFoods #EstaciónGourmet,estos cinnamonrolls traen muchas pasas puro sabor a navidad prosanafoods estacingourmet
1,@Jimmy_Jammes Vi que empezaste el año con empleo nuevo. Un gran abrazo. Un súper gusto conocerte. Éxito.,vi que empezaste el ao con empleo nuevo un gran abrazo un sper gusto conocerte xito
0,"@JacoboCisneros es Joda, tranquilo un chico tan simpático como tu no debería molestarse sonrie o envejeceras !",es joda tranquilo un chico tan simptico como tu no debera molestarse sonrie o envejeceras
0,@SonrisaDeCaeli dos cosas 1-Siento que casi todas las indirectas son para mi 2 por tu icon tuve que activar modo nocturno para verte,dos cosas 1siento que casi todas las indirectas son para mi 2 por tu icon tuve que activar modo nocturno para verte
-1,Yo debería estar dormida y no bajo este largo ataque de ansiedad de baja intensidad,yo debera estar dormida y no bajo este largo ataque de ansiedad de baja intensidad
0,"@Valavb así es, aquí estamos pasando algo similar en estos días",as es aqu estamos pasando algo similar en estos das
-1,"Mi ultima semana de trabajo,que triste todo amigo,paso volando el año no creo",mi ultima semana de trabajoque triste todo amigopaso volando el ao no creo
-1,en teatro es puro bardo ya toy perdida chicos aiuda,en teatro es puro bardo ya toy perdida chicos aiuda
-1,@jpalummo hogares cómplices no es el mejor término. Sufren la Violencia en Silencio por Generaciones. No denuncian.la tienen naturaluzada,hogares cmplices no es el mejor trmino sufren la violencia en silencio por generaciones no denuncianla tienen naturaluzada
0,Los veo muy felices???? Ya sepesaron? #LaVidaEsCruel,los veo muy felices ya sepesaron lavidaescruel
0,"@vidal_guitar eso es lo angustiante nada de información segura, muchas gracias por responder",eso es lo angustiante nada de informacin segura muchas gracias por responder
1,"Los miércoles son lindos, quedarme en casa hasta las 10am me parece un lujo",los mircoles son lindos quedarme en casa hasta las 10am me parece un lujo
1,Nada como el nuevo #InstagramStories,nada como el nuevo instagramstories
-1,"@ebelgeri sobre todo la parte de la nota q dice q hay q pasarsela a los del mismo color, algo q para Uruguay es revolucionario",sobre todo la parte de la nota q dice q hay q pasarsela a los del mismo color algo q para uruguay es revolucionario
0,Yo quiero una familia así #ModernFamily,yo quiero una familia as modernfamily
0,Necesito volver a Samsung por más de que iPhone tenga tremendo sistema operativo no me permite ser tan libre como galaxy,necesito volver a samsung por ms de que iphone tenga tremendo sistema operativo no me permite ser tan libre como galaxy
1,"@JPL0UIS Que descanse ,sueñe bonito ,hermosa luna",que descanse suee bonito hermosa luna
-1,"Con todas las minas hermosas que hay, oportunidades cero",con todas las minas hermosas que hay oportunidades cero
-1,"Primero quiero formar un equipo inicial: Lurantis, Primarina, Mimikyu, Salamence, Krookodile, Sylveon. Que mal que no está Mawile",primero quiero formar un equipo inicial lurantis primarina mimikyu salamence krookodile sylveon que mal que no est mawile
0,"Uds locas por sun and moon me dieron ganas de jugar, pero hablan de stats y huevadas que ni idea. Yo feliz atrapando y combatiendo nomas",uds locas por sun and moon me dieron ganas de jugar pero hablan de stats y huevadas que ni idea yo feliz atrapando y combatiendo nomas
-1,"Ni cigarros, ni galletas, ni caldo de camarón, ni michelada, ni papas a la francesa ... Qué clase de vida es esta??!!!",ni cigarros ni galletas ni caldo de camarn ni michelada ni papas a la francesa qu clase de vida es esta
-1,@nubecina entonces no es indigente ni tiene problemas mentales? Eso no justifica nada. La lanza como 1 muñeca a la calle,entonces no es indigente ni tiene problemas mentales eso no justifica nada la lanza como 1 mueca a la calle
-1,"Mis tenis fueron las primeras en ser compradas y no han llegado todo el mundo con tenis nuevas y yo aquí, zad.",mis tenis fueron las primeras en ser compradas y no han llegado todo el mundo con tenis nuevas y yo aqu zad
1,"Cuando me duermo muy tarde planeando proyectos que me apasionan, es un completo goce, inspiracion a la calma de la noche",cuando me duermo muy tarde planeando proyectos que me apasionan es un completo goce inspiracion a la calma de la noche
-1,@popstitude nadie quiere escuchar tu (horrible) música. Deberías respetar el área común. (Imbesil) super polite!,nadie quiere escuchar tu horrible msica deberas respetar el rea comn imbesil super polite
0,"Si tu día esta amargo ""pues dale una movida"" aveces el azúcar esta en el fondo.",si tu da esta amargo pues dale una movida aveces el azcar esta en el fondo
1,"Días!!! Sí te caíste no importa; levántate,continua y haz a un lado la piedra con la que tropezaste, para no caer de nuevo... Besitos",das s te caste no importa levntatecontinua y haz a un lado la piedra con la que tropezaste para no caer de nuevo besitos
1,"@HECTORYEMMI Feliz Cumple que tengas un hermoso dia ,como todos los dias de tu vida",feliz cumple que tengas un hermoso dia como todos los dias de tu vida
-1,La operación de Carmen me tiene muy triste,la operacin de carmen me tiene muy triste
0,yo quiero que dios me ayude a conseguir el libro rapido,yo quiero que dios me ayude a conseguir el libro rapido
0,@clauchoarrionda pquno ladra y ls demas retwitean,pquno ladra y ls demas retwitean
0,"Extraño Virginia, extraño a Leo, extraño a mis primas, extraño a mi tía extraño salir y ver la nieve y sus atardeceres y los cervatillos",extrao virginia extrao a leo extrao a mis primas extrao a mi ta extrao salir y ver la nieve y sus atardeceres y los cervatillos
1,@cracks_oficial bueno felicidades por el millon de crack que hay en el canal !! soy un suscriptor ya un poco antiguo a por mas DE PERU,bueno felicidades por el millon de crack que hay en el canal soy un suscriptor ya un poco antiguo a por mas de peru
-1,"después 1 mes me entero q a una piba le robaron las entradas para el m&g, ayy pobre!",despus 1 mes me entero q a una piba le robaron las entradas para el mg ayy pobre
-1,@eltreceoficial yo la vi muy bajoneada y tensa pobre @barvelez ...,yo la vi muy bajoneada y tensa pobre
1,"#fiesta17millones @yuyacst HERMOSA, MIL FELICIDADES, esta familia crece y creceP NO TE GUSTÓ MI DIBUJITO QUE TE HICE?",fiesta17millones hermosa mil felicidades esta familia crece y crecep no te gust mi dibujito que te hice
0,@TatoGI cada cantante y canción nueva caray,cada cantante y cancin nueva caray
-1,"@rathaly Falleció el perro de mi amigo ""Pazuz"" por eso lo recuerdo así. No me tires un zapato. Estoy tristita.",falleci el perro de mi amigo pazuz por eso lo recuerdo as no me tires un zapato estoy tristita
1,Princesa hermosa  Estas creciendo muy rápido Te Amo pequeña de tía,princesa hermosa estas creciendo muy rpido te amo pequea de ta
-1,"Espero que @Uber_UY no me pida que la borre y la agregue de nuevo, son demasiados números para escribirlos de nuevo",espero que no me pida que la borre y la agregue de nuevo son demasiados nmeros para escribirlos de nuevo
1,"@Calikhaug @PilarAcuna Muy bueno Chiquilla: No hay que tirar piedras al techo del vecino si el tuyo es de cristal. Feliz Noche, Pili.",muy bueno chiquilla no hay que tirar piedras al techo del vecino si el tuyo es de cristal feliz noche pili
1,No hay nada mejor que ver el estreno de #RogueOne con la mejor compañía,no hay nada mejor que ver el estreno de rogueone con la mejor compaa
-1,"Aún no puedo salir de la U porque la tarifa de Uber está alta, me escupo",an no puedo salir de la u porque la tarifa de uber est alta me escupo
-1,"En serio si van a manifestarse Estamos en todo el derecho pero esto ya es un desmadre, en serio no mamen",en serio si van a manifestarse estamos en todo el derecho pero esto ya es un desmadre en serio no mamen
0,"A pesar de nuestras limitaciones humanas, el Señor quiere obrar de maneras asombrosas a través de nuestras oraciones..",a pesar de nuestras limitaciones humanas el seor quiere obrar de maneras asombrosas a travs de nuestras oraciones
1,"@Phoenix2124 si si, prendieron fuego !! La única que me sabía la cantaron cuando estaba haciendo fila en el baño 1 gusto conocerte!!",si si prendieron fuego la nica que me saba la cantaron cuando estaba haciendo fila en el bao 1 gusto conocerte
0,"Este ciclo en la u, inventare un horario que los sábados tenga clase de 8 am a 10:30 así llegar 11 al todos los sábados al trabajo #chan",este ciclo en la u inventare un horario que los sbados tenga clase de 8 am a 1030 as llegar 11 al todos los sbados al trabajo chan
0,No te diré porque duele tanto sé que no quieres saber lo que pienso ni lo que diré ni mis motivos Tu eres realmente bueno para mi,no te dir porque duele tanto s que no quieres saber lo que pienso ni lo que dir ni mis motivos tu eres realmente bueno para mi
-1,Tremenda depreciación me agarra cuando me dejan en mi casa,tremenda depreciacin me agarra cuando me dejan en mi casa
1,"Sin ser fan de Juan Gabriel, siempre supe que era una fuerza de la naturaleza. Hoy escuché ""Querida"", y me dio una ternura enorme.",sin ser fan de juan gabriel siempre supe que era una fuerza de la naturaleza hoy escuch querida y me dio una ternura enorme
-1,"Chiky en todos los eventos me dice ""Mae échame a una amiga tuya"" y nunca le he cumplido, soy una mala mejor amiga",chiky en todos los eventos me dice mae chame a una amiga tuya y nunca le he cumplido soy una mala mejor amiga
1,De nuevo quiero dedicarme solo a ser groomer y pasear perros. No saben la felicidad que me trae.,de nuevo quiero dedicarme solo a ser groomer y pasear perros no saben la felicidad que me trae
1,"Bien Rafael, go ahead, no rscuches a los minusvalidos mentales red tomatoes, con climper y elmer cuba haran buen equipo!!!",bien rafael go ahead no rscuches a los minusvalidos mentales red tomatoes con climper y elmer cuba haran buen equipo
0,"La soberbia no es nada buena, no confíes en el ni en ella!",la soberbia no es nada buena no confes en el ni en ella
-1,Mamá! No más paneton! No ves que ya he bajado como 8 kilos quieres que los suba en dos días?,mam no ms paneton no ves que ya he bajado como 8 kilos quieres que los suba en dos das
1,Yo tengo él grupo perfecto de 7 chicas para ser IBFs grupales,yo tengo l grupo perfecto de 7 chicas para ser ibfs grupales
-1,@diego_14m @thiago23ok @diegodelacurva Así opinan desde el FA de la gente del interior. Increíble que les voten,as opinan desde el fa de la gente del interior increble que les voten
-1,"Casi el 80% de los pobladores estamos mal ubicados, en un terremoto estiman 50 mil muertos en Lima",casi el 80 de los pobladores estamos mal ubicados en un terremoto estiman 50 mil muertos en lima
1,@Melapplezz Ven para aca. -te abrazo fuerte- Se que no estoy fisicamente pero si estuviera haria de todo para que dejaras de sentirte mal,ven para aca te abrazo fuerte se que no estoy fisicamente pero si estuviera haria de todo para que dejaras de sentirte mal
-1,ay loco que mierda justo el que pensé que era buena gente..,ay loco que mierda justo el que pens que era buena gente
-1,@Edurraiba es lamentable un tema tan sensible jamás con ese enfoque,es lamentable un tema tan sensible jams con ese enfoque
1,@MrGaryGamingYT eres el putisimo amo v:,eres el putisimo amo v
1,@Miamanta buenos días sam ya aquí estamos después de estar un poco enfermo pero ya vamos mejorando saludos y feliz año y bendiciones,buenos das sam ya aqu estamos despus de estar un poco enfermo pero ya vamos mejorando saludos y feliz ao y bendiciones
-1,Alguien quiere hablar conmigo por ft de audio ?? estoy en la escuela ya acabe todo y estoy muuuuuy aburrida,alguien quiere hablar conmigo por ft de audio estoy en la escuela ya acabe todo y estoy muuuuuy aburrida
-1,En la vet pq Aslitan está enfermito ...Hay una Sra. que está llorando pq a su perrito lo están operando,en la vet pq aslitan est enfermito hay una sra que est llorando pq a su perrito lo estn operando
0,"Que el finde sea para hacer cualquier cosa que a uno lo haga FELIZ, lo que sea pero que sea lo que a uno le de la reverenda gana",que el finde sea para hacer cualquier cosa que a uno lo haga feliz lo que sea pero que sea lo que a uno le de la reverenda gana
0,"@GaCaela ya sé. No te vi en ésta, pero me contaron de ""la modelo se paseó desnuda como si nada"", y pensé en tu primera vez toda nerviosa",ya s no te vi en sta pero me contaron de la modelo se pase desnuda como si nada y pens en tu primera vez toda nerviosa
-1,Extraño mis siestas de todaaaa la tarde,extrao mis siestas de todaaaa la tarde
1,La verdad que me encanto el #McDiaFeliz en @mvdshopping Un placer estar presente para ayudar! @mcdonaldsuy,la verdad que me encanto el mcdiafeliz en un placer estar presente para ayudar
-1,me duele mucho el ojo derecho puta conjuntivitis,me duele mucho el ojo derecho puta conjuntivitis
-1,Pues que estoy hablando y en eso me sale el lado ñoño que esta dentro de mi todo mal yo hablando de trastornos de personalidad!,pues que estoy hablando y en eso me sale el lado oo que esta dentro de mi todo mal yo hablando de trastornos de personalidad
1,@MarianaGrarod @dctorre ya puedes ser feliz,ya puedes ser feliz
-1,Jaja Trump en los primeros 3 meses se va a traer abajo el TLC nos vamos a ir todos a la mierda,jaja trump en los primeros 3 meses se va a traer abajo el tlc nos vamos a ir todos a la mierda
-1,Aun en la oficina...que triste mi vida,aun en la oficinaque triste mi vida
0,@ffanoch @ObservadorUY jaja si el concepto es irregular no asimetrico,jaja si el concepto es irregular no asimetrico
1,Segundo cuarto y Golden ya lleva 73 puntos,segundo cuarto y golden ya lleva 73 puntos
-1,Si andan haciendo eso mejor se quedaran calladitas jaja pero así se están quemando ellas mismas e insinuando que son unas metidas,si andan haciendo eso mejor se quedaran calladitas jaja pero as se estn quemando ellas mismas e insinuando que son unas metidas
-1,"Y si haz dormido con alguien más, SI HOY duermes con alguien porfa no la abraces y no le digas que la quieres",y si haz dormido con alguien ms si hoy duermes con alguien porfa no la abraces y no le digas que la quieres
-1,@Yeesus_ @laMaquinaPeru @CSerranoTV ya no es lo mismo,ya no es lo mismo
1,Bailaste hermoso @EmiliaDrago gracias por el apoyo a @FiorellaCayo1,bailaste hermoso gracias por el apoyo a
1,"Que bueno es saber que los grandes exitosos pasan por grandes pruebas, eso me motiva!!!",que bueno es saber que los grandes exitosos pasan por grandes pruebas eso me motiva
1,"@smallxespos ay que linda q soss, vos iguaal!! Es una bebita lo q pasaa, mi user es el apellido de Axel y Celeste",ay que linda q soss vos iguaal es una bebita lo q pasaa mi user es el apellido de axel y celeste
0,Lo bueno que mñn acaba sus finales,lo bueno que mn acaba sus finales
-1,"""ESTOY HARTA DEL SEMESTRE "" -Yo, sábado por la noche, resolviendo integrales para encontrar áreas.",estoy harta del semestre yo sbado por la noche resolviendo integrales para encontrar reas
-1,Ese momento en ronque agarras el sueño profundo y te despiertan de la peor forma .... Que maldad,ese momento en ronque agarras el sueo profundo y te despiertan de la peor forma que maldad
0,@alem4p buen punto a mi la lectura me llevo a otro lado. Creo que depende de que te dieran a leer,buen punto a mi la lectura me llevo a otro lado creo que depende de que te dieran a leer
1,@corodario Hola Feliz Cumplee pasala genial al lado de tu familia y amigos!! espero me respondas pronto...,hola feliz cumplee pasala genial al lado de tu familia y amigos espero me respondas pronto
-1,papá a veces compara mi ponderado semestral de 14 o 13 con los 17 u 18 y de mi primos y PAPÁ ESTOY EN UNA UNIVERSIDAD NACIONAL,pap a veces compara mi ponderado semestral de 14 o 13 con los 17 u 18 y de mi primos y pap estoy en una universidad nacional
-1,#Nunca mas pero q mujer para más insegura Saludos para lizbeth y julver,nunca mas pero q mujer para ms insegura saludos para lizbeth y julver
0,@edwin jajajaja con tanta tecnología las pilas salen caras por lo menos te ahorraste en regalos!,jajajaja con tanta tecnologa las pilas salen caras por lo menos te ahorraste en regalos
1,Sería la mejor compañía para Marce y Osquitar  Bueno y yo,sera la mejor compaa para marce y osquitar bueno y yo
1,"@CocaHdz_ Ya se, pero no puedo evitarlo !!! En vdd que si haces eso, sería como mi mejor regalo #LaVdd",ya se pero no puedo evitarlo en vdd que si haces eso sera como mi mejor regalo lavdd
0,@TatoGI los años no pasan en vano,los aos no pasan en vano
-1,"Oigan no, no nos hagan eso a las locas, madrugar no es pa nosotras. Así que, cadena de oración pa que pueda dormir aunque sea 3 horas.",oigan no no nos hagan eso a las locas madrugar no es pa nosotras as que cadena de oracin pa que pueda dormir aunque sea 3 horas
0,"No te rindas no.. dale a tu vida otro color, siempre sale el Sol.. una vez más.... lalala..",no te rindas no dale a tu vida otro color siempre sale el sol una vez ms lalala
0,No sé si soy exagerada.. no es el fin del mundo pero yo necesito un trago para pasar todo esto. Necesito estar tranquila,no s si soy exagerada no es el fin del mundo pero yo necesito un trago para pasar todo esto necesito estar tranquila
-1,"Me puse re mal con lo del avion con jugadores de futbol chapecoense,pobres familias la vida es injusta QEPD y fuerza familias..",me puse re mal con lo del avion con jugadores de futbol chapecoensepobres familias la vida es injusta qepd y fuerza familias
-1,"Que se te pierda el DNI justo a días de viajar, horrible, la verdad",que se te pierda el dni justo a das de viajar horrible la verdad
1,@TipicaLoca lindas ! y son super mansas ! las fui apurando tocándole las patas traseras y se tomaron su tiempo ! no las apuras mucho...,lindas y son super mansas las fui apurando tocndole las patas traseras y se tomaron su tiempo no las apuras mucho
-1,"Hago un favor y me reclaman y quejan, clásico",hago un favor y me reclaman y quejan clsico
0,@PabloMonti1 me esta pasando lo mismo hace una semana y n tomo mate estaré atenta a los doc matriculados q te den respuestas por acá jaa,me esta pasando lo mismo hace una semana y n tomo mate estar atenta a los doc matriculados q te den respuestas por ac jaa
-1,"@MHackem No Cecilia, lo que hacemos está muy lejos de ninguna aplicación práctica. No me arrogues méritos que no tengo",no cecilia lo que hacemos est muy lejos de ninguna aplicacin prctica no me arrogues mritos que no tengo
1,@alejandro_mhr el cine de Irán es de los mejores en el mundo,el cine de irn es de los mejores en el mundo
0,"No te rindas no.. dale a tu vida otro color, siempre sale el Sol.. una vez más.... lalala..",no te rindas no dale a tu vida otro color siempre sale el sol una vez ms lalala
1,"@SparkGuns @JuanetedeLolo Cuando sea mayor de edad y mi viejo me deje tomar con adultos, jajajajajajajaja",cuando sea mayor de edad y mi viejo me deje tomar con adultos jajajajajajajaja
0,@mary_robre asi que ahora tenemos una posible nueva carrera armamentista in the making,asi que ahora tenemos una posible nueva carrera armamentista in the making
0,ay no hablen que el año que viene termino la secundaria,ay no hablen que el ao que viene termino la secundaria
0,"Me gustaría pensar que me están haciendo un bluffing, de esos que yo haría. Pero algo me dice que no es así",me gustara pensar que me estn haciendo un bluffing de esos que yo hara pero algo me dice que no es as
-1,"Esta ceniza me tiene mala ya. Ando con alegría y me arden los ojos, no puedo usar lentes de contacto.",esta ceniza me tiene mala ya ando con alegra y me arden los ojos no puedo usar lentes de contacto
-1,"@cuervotinelli miércoles, sábados y domingos son los peores días para mi TE EXTRAÑO !!",mircoles sbados y domingos son los peores das para mi te extrao
1,Mi Jefazo hermoso @AlejandroSanz #DejaQueTeBese en @Fansdelaradio @CarlosJRubiofm @madshila @PaolaMattos11 #FanaticaSiempre @soleyvelez,mi jefazo hermoso dejaquetebese en fanaticasiempre
-1,Extraño a mi mejor amiga carajo díganle pe,extrao a mi mejor amiga carajo dganle pe
1,y el video de la campaña de este año del juego fue muy bueno pero no lo tengo,y el video de la campaa de este ao del juego fue muy bueno pero no lo tengo
-1,Y aveces necesito alguien con quien platicar,y aveces necesito alguien con quien platicar
1,Si la ven díganle que se Pudraa por que si la veo yo le voy a gritar lo que la enfada PUTAAAA jajaja buenos mundo días amanecí Feliz,si la ven dganle que se pudraa por que si la veo yo le voy a gritar lo que la enfada putaaaa jajaja buenos mundo das amanec feliz
-1,"@Saramallow los mismso problemas que tenía del otro lado, solo que solo iba un día a la oficina y mi vida era una ilusión",los mismso problemas que tena del otro lado solo que solo iba un da a la oficina y mi vida era una ilusin
1,@KaroRC4 hay unos que son casi misión imposible pero está super lindo,hay unos que son casi misin imposible pero est super lindo
-1,"Ojala pudiera devolver el tiempo, para verte de nuevo, para darte un abrazo y nunca soltarte . #IMissYou #MyAngel",ojala pudiera devolver el tiempo para verte de nuevo para darte un abrazo y nunca soltarte imissyou myangel
-1,@KoenmaJr20 probando nuevos Morning show! @ExaFM me aburre ya! Se ha vuelto demasiado tonto el programa! Extraño a @Cecidelacueva,probando nuevos morning show me aburre ya se ha vuelto demasiado tonto el programa extrao a
1,@minideeharry yo pensé que ya te habías olvidado de nuestra hermandad chingona lo que es tener vida social y olvidarse de uno,yo pens que ya te habas olvidado de nuestra hermandad chingona lo que es tener vida social y olvidarse de uno
0,"Levantarse muerta de sueño, sentarse en la orilla de la cama y quedarse mirando un zapato",levantarse muerta de sueo sentarse en la orilla de la cama y quedarse mirando un zapato
0,"@cantouchth no te disculpes por ser tú misma, eso está genial, en serio",no te disculpes por ser t misma eso est genial en serio
0,"No creo el amor a primera vista, pero si el querer en la primera noche",no creo el amor a primera vista pero si el querer en la primera noche
-1,"se me borró todo lo de la tarjeta de memoria, toy por caer en depresión miles de fotos maso, la puta madreeeeee",se me borr todo lo de la tarjeta de memoria toy por caer en depresin miles de fotos maso la puta madreeeeee
1,"@vicmanini Así es Vic, me gustó mucho Bonito Martes",as es vic me gust mucho bonito martes
1,Ser feliz no significa que todo es perfecto. ... Buen día a todos!,ser feliz no significa que todo es perfecto buen da a todos
-1,"O sea no es que sea mal pedo , pero si uno no puede venir a tomar a su casa con amigos pues los demás tampoco se quedaron sin fiesta. Ups",o sea no es que sea mal pedo pero si uno no puede venir a tomar a su casa con amigos pues los dems tampoco se quedaron sin fiesta ups
-1,Uff..no..no estoy feliz..teléfono de mierda que me despertó de mi sueño hermoso..,uffnono estoy feliztelfono de mierda que me despert de mi sueo hermoso
1,Necesito unas tortas fritas de mi suegraaa.,necesito unas tortas fritas de mi suegraaa
-1,Como cuando estás súper triste y pones un playlist de Camila y Ha Ash . Los de la agencia se van a deprimir,como cuando ests sper triste y pones un playlist de camila y ha ash los de la agencia se van a deprimir
-1,".@alefpiro ¿Nunca escuchaste la eresión ""el último orejón del tarro""? Bueno, como son más de uno son orejanos",nunca escuchaste la eresin el ltimo orejn del tarro bueno como son ms de uno son orejanos
0,@YesicaLorenzo si no te mandan sería un error garrafal,si no te mandan sera un error garrafal
1,"@guillevaldes Que lindo está @cuervotinelli hoy todo de Azul , alguna vez te dije que vos SOS La Madrastra Perfecta  bella mujer!!",que lindo est hoy todo de azul alguna vez te dije que vos sos la madrastra perfecta bella mujer
1,"@wendyriveran1 jaja tienes talento para componer canciones eh si terminas la letra me la pasas,me gustaría escucharla",jaja tienes talento para componer canciones eh si terminas la letra me la pasasme gustara escucharla
